"obs","time..2","elapsed","date","hhmmss..5","averaging","baseline_yn","id","machine","TIME..10","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..60","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..106","hhmmss..107","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1704138515,0,2024-01-01 13:48:34,13:48:34,5,"n","paul.lc.2.26","albert",1704138507,0.001680138,1.680138072,0.749884622,418.4623862,392.697935,35.81557219,38.1653899,0.090262659,2.769355438,0.088659554,0.055553882,354.8383577,25.68995311,24.98252258,3.176365913,49.99995107,1.492248039,2.984498997,1.684117874,-74.09408897,-155.3987706,-11.80528155,113.5402166,0.672589024,1.680998378,0.749884622,425.8482065,425.0968182,-0.033682608,65.04356498,1.680138072,14.38016457,16.36334,4.39e-06,107.4170674,8,2,1,0,48605,2016.937339,1654.494004,0.820300151,0.175929292,6,0.5,"0: Broadleaf",2,TRUE,1704138507,418.4623871,420.1136452,16.36167419,14.37744516,415.1055161,16.26367097,499.991,91.10393548,0.099936497,23.94168387,24.98252258,999.9,0,0,10003.48387,0,16.94540323,-1.651317097,425.423,426.2419677,1.984239677,420.1136452,14.37744516,1.490612903,1.30984129,12.87222903,10.91225484,1999.991935,0.979992,0.0200081,0,2.183812903,0,33223.49032,17338.11613,37.20145161,38.71545161,37.73758065,36.94335484,36.92912903,1959.971935,40.02,0,1704138514,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,-1.770374,3.528843602,0.569785367,0,1.984654,-0.015319024,0.002102061,1,1,2,"2-Jan",3.13004,2.77086,0.0855489,0.0867693,0.0823703,0.0753944,27369.1,26860.6,30467.2,29667.4,38599.2,36108.4,46617.8,44097.1,1.82675,1.86392,0.112321,0,23.1513,999.9,38.7,31.3,19.4953,64.1292,22.9607,1,0.116217,2.35033,20.181,5.23167,11.974,4.97155,3.29028,9999,9999,9999,999.9,4.9729,1.87714,1.87527,1.87808,1.8748,1.87836,1.87546,1.87664,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.356,0.0981,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.1,1440.5,1.06445,2.54272,1.39893,2.33398,1.44897,2.55615,37.9164,24.0262,18,484.177,472.707,20.2686,28.5362,29.9998,28.4183,28.4952,21.2645,31.718,73.2868,20.2715,413.284,14.4071,100.736,101.419
2,1704138520,5,2024-01-01 13:48:39,13:48:39,5,"n","paul.lc.2.26","albert",1704138512,0.001706299,1.706298609,0.859623119,418.3075162,390.8296933,35.64552669,38.15163481,0.09167112,2.767858497,0.090017212,0.056406869,354.8388131,25.68941816,24.98451724,3.176743715,49.98049004,1.492185283,2.985535519,1.684558432,-75.24776868,-154.7501893,-11.76282912,113.078026,0.395090573,1.687230602,0.859623119,426.0476749,425.0242061,-0.004832894,65.04356498,1.706298609,14.33625695,16.35115939,-8.63e-05,107.4170674,8,2,1,0,48635,2016.939934,1654.496133,0.820300151,0.175929291,6,0.5,"0: Broadleaf",2,TRUE,1704138512,418.3075172,419.6286552,16.36082759,14.36913793,414.9512759,16.26284828,499.9652759,91.10476897,0.099986714,23.94746207,24.98451724,999.9,0,0,9994.561379,0,16.94579655,-1.321157434,425.2652759,425.7464828,1.991706897,419.6286552,14.36913793,1.49055069,1.309096897,12.87157931,10.90368966,1999.994138,0.979992,0.0200081,0,2.179693103,0,33193.94138,17338.13103,37.29941379,38.70003448,37.76689655,36.95672414,36.9307931,1959.974138,40.02,0,1704138519,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,-1.684889024,2.966585017,0.556802135,0,1.988408537,0.0515977,0.009855434,1,1,2,"2-Jan",3.13023,2.77085,0.0855229,0.0863704,0.0823128,0.0752187,27370.2,26872.9,30467.5,29668,38602.3,36115.8,46618.6,44097.8,1.8274,1.86367,0.110783,0,23.1513,999.9,38.7,31.3,19.4946,64.0792,22.9327,1,0.115864,2.38324,20.1799,5.22807,11.974,4.97055,3.28948,9999,9999,9999,999.9,4.97291,1.87714,1.87531,1.8781,1.87481,1.87837,1.87547,1.87667,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.355,0.0977,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.2,1440.5,1.0376,2.55249,1.39893,2.33398,1.44897,2.40479,37.9164,24.0262,18,484.515,472.519,20.2778,28.5331,29.9999,28.4152,28.4922,20.7597,31.718,73.2868,20.275,399.915,14.4164,100.737,101.421
3,1704138525,10,2024-01-01 13:48:44,13:48:44,5,"n","paul.lc.2.26","albert",1704138517,0.001673453,1.673453464,0.795590701,417.7077847,391.0806641,35.66778642,38.09626356,0.089835279,2.767308232,0.088246023,0.055294211,354.840282,25.7062577,24.98391429,3.176629507,49.93034322,1.49135936,2.98687985,1.685270146,-73.79929778,-153.5118028,-11.67142235,115.8577591,-1.306386993,1.693436482,0.795590701,419.2730404,421.8831212,-0.745845217,65.04356498,1.673453464,14.32844077,16.3256497,-0.002735622,107.4170674,8,2,1,0,48649,2016.948311,1654.503001,0.82030015,0.175929289,6,0.5,"0: Broadleaf",2,TRUE,1704138517,417.7077857,416.9888929,16.35206071,14.35299286,414.3533929,16.25422857,499.9566071,91.10321786,0.0999269,23.95495357,24.98391429,999.9,0,0,9991.486429,0,16.94616786,0.718919086,424.6518929,423.0612857,1.999083571,416.9888929,14.35299286,1.489726071,1.307603571,12.86312857,10.88651429,2000.002143,0.979992107,0.020007989,0,2.133964286,0,33165.75357,17338.19643,37.25203571,38.7005,37.73396429,36.95742857,36.93282143,1959.982143,40.02,0,1704138525,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,-0.05713864,18.71309289,2.63903638,0,1.99535125,0.118209794,0.014620552,1,1,2,"2-Jan",3.13037,2.77091,0.0849576,0.0843773,0.0822338,0.0752561,27386.6,26931.6,30466.9,29668.1,38604.5,36114.3,46617.3,44098,1.82703,1.8636,0.111837,0,23.1499,999.9,38.7,31.3,19.4946,64.3592,22.6763,1,0.11578,2.34349,20.1804,5.22792,11.974,4.9703,3.28953,9999,9999,9999,999.9,4.9729,1.87714,1.87529,1.87808,1.87479,1.87836,1.87546,1.87667,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.344,0.0974,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.3,1440.6,1.00708,2.54028,1.39893,2.33398,1.44897,2.56836,37.9164,24.035,18,484.288,472.444,20.2857,28.5295,29.9998,28.4122,28.4891,20.0629,31.4383,73.2868,20.2897,379.881,14.4358,100.735,101.421
4,1704138530,15,2024-01-01 13:48:49,13:48:49,5,"n","paul.lc.2.26","albert",1704138522,0.001663927,1.663927297,0.694959266,415.0129621,390.1536849,35.58317094,37.8504106,0.089188306,2.767951847,0.087622,0.054902185,354.8381337,25.70923593,24.98976296,3.177737478,49.88690323,1.490129359,2.987015153,1.687608119,-73.3791938,-154.3077882,-11.7296036,115.4215482,-5.459697991,1.689051732,0.694959266,404.773707,412.9888545,-1.888466623,65.04356498,1.663927297,14.36581309,16.32627697,0.000480688,107.4170674,8,2,1,0,48663,2016.93607,1654.492963,0.820300151,0.175929291,6,0.5,"0: Broadleaf",2,TRUE,1704138522,415.012963,409.302037,16.33860741,14.3447,411.6671481,16.2410037,499.9595185,91.10304815,0.099911904,23.95570741,24.98976296,999.9,0,0,9995.300741,0,16.94273704,5.710981644,421.9065185,415.2588148,1.993914074,409.302037,14.3447,1.488497407,1.306845926,12.85051481,10.87781111,1999.993333,0.979992111,0.020007985,0,2.069907407,0,33132.65556,17338.11852,37.37014815,38.69166667,37.796,36.98137037,36.94655556,1959.973333,40.02,0,1704138529,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,3.26623536,55.34355074,5.83238756,0,1.99187875,-0.03639636,0.019070666,1,1,2,"2-Jan",3.1302,2.77101,0.0835071,0.0818787,0.0822448,0.0753724,27430.3,27005.5,30467.2,29668.5,38604.5,36110.1,46617.9,44098.6,1.82705,1.8639,0.113964,0,23.1494,999.9,38.7,31.3,19.4951,64.4592,22.8646,1,0.115259,2.32728,20.1807,5.22732,11.974,4.97005,3.2895,9999,9999,9999,999.9,4.9729,1.87716,1.8753,1.87812,1.87482,1.87838,1.87546,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.314,0.0974,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.4,1440.7,0.969238,2.54883,1.39893,2.33398,1.44897,2.55127,37.9164,24.0262,18,484.281,472.618,20.3016,28.5264,29.9997,28.4091,28.4861,19.3884,31.4383,73.2868,20.305,366.519,14.4375,100.736,101.422
5,1704138535,20,2024-01-01 13:48:54,13:48:54,5,"n","paul.lc.2.26","albert",1704138527,0.001663972,1.663972002,0.738803643,408.9533562,383.4489294,34.97177576,37.29786153,0.089047326,2.768290356,0.087486109,0.054816807,354.84325,25.70622372,24.99978929,3.179637645,49.86993636,1.489368722,2.986506161,1.690268923,-73.38116529,-156.2462816,-11.87593604,113.3398671,-10.44976323,1.676651185,0.738803643,388.5563364,400.2138424,-2.617176616,65.04356498,1.663972002,14.36954588,16.33260061,0.000139143,107.4170674,8,2,1,0,48515,2016.9655,1654.517072,0.820300135,0.175929261,6,0.5,"0: Broadleaf",2,TRUE,1704138527,408.9533571,397.2364286,16.33022143,14.35109286,405.6266786,16.23275,499.9991786,91.10327857,0.099938032,23.95287143,24.99978929,999.9,0,0,9997.272143,0,16.95621429,11.71705366,415.7427143,403.0199286,1.979125714,397.2364286,14.35109286,1.487735714,1.307431429,12.84270357,10.88454643,2000.009286,0.979992893,0.020007168,0,2.026946429,0,33099.42857,17338.26429,37.32782143,38.6915,37.78767857,36.97314286,36.96621429,1959.990714,40.01821429,0,1704138534,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,8.280383766,76.39879806,7.625935851,0,1.98608561,-0.192058955,0.023423895,1,1,2,"2-Jan",3.1303,2.77091,0.0814647,0.0791982,0.082264,0.0753823,27491.3,27084.4,30467.1,29668.5,38603.2,36109.6,46617.6,44098.7,1.82733,1.8637,0.113893,0,23.1494,999.9,38.7,31.3,19.4925,64.3492,22.8726,1,0.115973,2.70031,20.1749,5.22852,11.974,4.9702,3.28973,9999,9999,9999,999.9,4.97291,1.87714,1.87526,1.87806,1.8748,1.87836,1.87546,1.87667,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.274,0.0975,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.5,1440.8,0.935059,2.55493,1.39893,2.33398,1.44897,2.40723,37.9164,24.0262,18,484.413,472.462,20.2681,28.5234,30.0004,28.4061,28.4831,18.6436,31.152,73.2868,20.2241,346.483,14.4412,100.736,101.423
6,1704138540,25,2024-01-01 13:48:59,13:48:59,5,"n","paul.lc.2.26","albert",1704138532,0.00164477,1.644769758,0.794525908,398.0363694,371.632393,33.89418382,36.30231951,0.087805221,2.768035921,0.086286717,0.054063442,354.8428873,25.70760651,25.01901111,3.183283302,49.88059143,1.489324832,2.98578022,1.693958469,-72.53434632,-159.7041125,-12.14080465,110.4636238,-15.04452988,1.658574083,0.794525908,371.8482391,385.3217091,-3.009747665,65.04356498,1.644769758,14.39738943,16.33762121,0.000158735,107.4170674,9,2,1,0,48585,2016.963415,1654.515364,0.820300136,0.175929263,6,0.5,"0: Broadleaf",2,TRUE,1704138532,398.0363704,380.775037,16.32968519,14.37188519,394.7443704,16.23222222,499.996963,91.10357778,0.099946085,23.94882593,25.01901111,999.9,0,0,9995.738519,0,16.96452593,17.26137037,404.6441111,386.327037,1.957796296,380.775037,14.37188519,1.487691852,1.30932963,12.84224074,10.90637407,1999.998889,0.979992815,0.020007248,0,2.054155556,0,33060.81481,17338.17407,37.38622222,38.687,37.83311111,36.98603704,36.98807407,1959.98037,40.01814815,0,1704138539,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,12.56535401,68.98672555,6.981741808,0,1.977012195,-0.229078746,0.02487466,1,1,2,"2-Jan",3.13038,2.77089,0.0790768,0.0764491,0.0822871,0.0755767,27562.7,27165.6,30467,29668.9,38602.2,36102,46617.7,44099.1,1.8271,1.8638,0.114717,0,23.1494,999.9,38.6,31.3,19.4447,64.5092,22.6122,1,0.115836,2.62281,20.176,5.22852,11.974,4.97025,3.28968,9999,9999,9999,999.9,4.9729,1.87715,1.87527,1.8781,1.87481,1.87837,1.87546,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.226,0.0977,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.5,1440.9,0.897217,2.54395,1.39893,2.33398,1.44897,2.58789,37.9164,24.0262,18,484.269,472.508,20.2145,28.5204,30,28.4031,28.4806,17.9502,31.152,72.91,20.2074,333.122,14.4337,100.736,101.423
7,1704138545,30,2024-01-01 13:49:04,13:49:04,5,"n","paul.lc.2.26","albert",1704138537,0.001641609,1.641608924,0.642565938,385.3503921,362.0702552,33.02167079,35.14487479,0.087624662,2.767683943,0.086112151,0.053953813,354.8426906,25.70919091,25.02350714,3.184136557,49.90310691,1.490042742,2.98587169,1.694093815,-72.39495353,-160.2785977,-12.1863348,109.9828045,-17.28761787,1.648039634,0.642565938,355.142748,369.562303,-3.168457147,65.04356498,1.641608924,14.41953489,16.35519879,0.000256959,107.4170674,8,2,1,0,48593,2016.962293,1654.514444,0.820300136,0.175929263,6,0.5,"0: Broadleaf",2,TRUE,1704138537,385.3503929,365.3674643,16.33776071,14.39243571,382.0988214,16.24015,500.0031429,91.1024,0.099984932,23.94933571,25.02350714,999.9,0,0,9993.791786,0,16.96122143,19.98295714,391.7506071,370.7023571,1.945314286,365.3674643,14.39243571,1.488407857,1.311184643,12.84959286,10.92766786,2000.001071,0.979992786,0.020007279,0,2.093542857,0,33029.83214,17338.19286,37.33675,38.687,37.81664286,36.98878571,36.97739286,1959.9825,40.01821429,0,1704138544,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,17.89970175,37.90644754,3.829562656,0,1.9515635,-0.180898537,0.020429326,1,1,2,"2-Jan",3.13023,2.77098,0.0765089,0.073637,0.082345,0.0754914,27639.8,27248.3,30467.3,29668.9,38599.5,36105.2,46617.7,44099.1,1.8271,1.8636,0.113204,0,23.1494,999.9,38.6,31.3,19.4446,64.2792,22.8646,1,0.115849,2.65278,20.1755,5.22837,11.974,4.9702,3.28968,9999,9999,9999,999.9,4.9729,1.87716,1.87527,1.87811,1.87481,1.87836,1.87546,1.87668,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.176,0.0979,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.6,1441,0.863037,2.55127,1.39893,2.33398,1.44897,2.53418,37.8921,24.0262,18,484.249,472.353,20.1825,28.5173,30.0002,28.4,28.4776,17.2699,31.152,72.91,20.1766,319.746,14.4324,100.736,101.424
8,1704138550,35,2024-01-01 13:49:09,13:49:09,5,"n","paul.lc.2.26","albert",1704138542,0.001666097,1.666097344,0.637733293,369.5721844,347.0460565,31.65082593,33.70522344,0.089040301,2.767798723,0.087479056,0.054812402,354.8353449,25.70124773,25.01895926,3.183273463,49.93198891,1.490806359,2.985673896,1.692467104,-73.47489287,-159.7711152,-12.1468997,109.4424371,-18.61969249,1.649399199,0.637733293,338.3547705,353.2636788,-3.269266202,65.04356498,1.666097344,14.38481826,16.35245515,-0.00012876,107.4170674,8,2,1,0,48778,2016.920719,1654.480324,0.820300128,0.175929248,6,0.5,"0: Broadleaf",2,TRUE,1704138542,369.5721852,347.9601111,16.34644444,14.39952593,366.3715185,16.24868519,500.0016296,91.10066667,0.099983333,23.94823333,25.01895926,999.9,0,0,9994.658889,0,16.94294074,21.61213704,375.7136667,353.0436667,1.946912963,347.9601111,14.39952593,1.489171481,1.311805556,12.85741481,10.93479259,1999.977778,0.979993185,0.02000687,0,2.149140741,0,32995.85556,17338,37.37007407,38.687,37.8307037,36.99062963,36.96962963,1959.960741,40.01666667,0,1704138549,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,20.452465,19.59841576,2.001554213,0,1.9502225,-0.018985441,0.018647146,1,1,2,"2-Jan",3.13022,2.77098,0.0738188,0.0708304,0.0823308,0.0754352,27720.3,27330.8,30467.2,29668.8,38600,36107.1,46617.8,44098.9,1.82738,1.8636,0.112608,0,23.1494,999.9,38.6,31.3,19.4438,63.7492,22.8846,1,0.115333,2.6271,20.1759,5.22687,11.974,4.96975,3.28953,9999,9999,9999,999.9,4.97291,1.87714,1.87523,1.87807,1.87479,1.87836,1.87546,1.87664,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.123,0.0979,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.7,1441,0.825195,2.55493,1.39893,2.33398,1.44897,2.4353,37.9164,24.0262,18,484.381,472.324,20.1545,28.5143,29.9999,28.397,28.474,16.4946,31.152,72.91,20.1553,299.706,14.4324,100.736,101.423
9,1704138555,40,2024-01-01 13:49:14,13:49:14,5,"n","paul.lc.2.26","albert",1704138547,0.00166071,1.660709551,0.658266608,354.754642,332.288611,30.30470926,32.35361047,0.088844239,2.769297403,0.087290622,0.054693962,354.8357463,25.69941753,25.01112143,3.181786484,49.95090127,1.491152955,2.985237337,1.69063353,-73.2372912,-159.0507438,-12.08496183,110.4627494,-19.13749632,1.653060831,0.658266608,321.946755,336.8830848,-3.2802945,65.04356498,1.660709551,14.38564525,16.34627576,-5.38e-05,107.4170674,9,2,1,0,48584,2016.922979,1654.48218,0.820300129,0.17592925,6,0.5,"0: Broadleaf",2,TRUE,1704138547,354.7546429,332.4941786,16.35036786,14.3992,351.6023571,16.25254286,500.0182857,91.09996071,0.100002961,23.9458,25.01112143,999.9,0,0,10003.57786,0,16.94583571,22.26052857,360.6513929,337.3518929,1.951158929,332.4941786,14.3992,1.489517143,1.311766429,12.86097143,10.93434286,1999.977143,0.979993143,0.020006914,0,2.138925,0,32966.94286,17337.99286,37.31671429,38.68478571,37.82107143,36.9865,36.95282143,1959.96,40.01678571,0,1704138554,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,21.56788293,10.35325087,1.106806751,0,1.951215122,0.067004739,0.018968688,1,1,2,"2-Jan",3.13039,2.77118,0.0710584,0.0678972,0.0823081,0.0754369,27803.1,27417.1,30467.4,29668.9,38601.1,36107.1,46618.1,44099.2,1.82712,1.8636,0.112876,0,23.1494,999.9,38.5,31.3,19.3941,64.3592,22.5761,1,0.115231,2.54349,20.1776,5.22717,11.974,4.9697,3.2896,9999,9999,9999,999.9,4.9729,1.87714,1.87525,1.87809,1.87478,1.87836,1.87546,1.87666,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.07,0.0977,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.8,1441.1,0.791016,2.54883,1.39893,2.33398,1.44897,2.59399,37.9164,24.035,18,484.223,472.304,20.1439,28.5118,29.9999,28.3939,28.4715,15.8379,31.152,72.91,20.1544,286.349,14.4371,100.737,101.424
10,1704138560,45,2024-01-01 13:49:19,13:49:19,5,"n","paul.lc.2.26","albert",1704138552,0.001658464,1.658463962,0.550320158,337.8245178,317.8212108,28.98494416,30.80922371,0.088839648,2.768980843,0.087286017,0.054691085,354.8392979,25.69795306,24.99903704,3.179495046,49.95453686,1.491056043,2.984826078,1.688439003,-73.13826074,-157.5708303,-11.97301536,112.1571915,-19.35773011,1.663102204,0.550320158,305.4871072,320.5067697,-3.270234881,65.04356498,1.658463962,14.38683355,16.34444485,-3.05e-06,107.4170674,8,2,1,0,48734,2016.943226,1654.498784,0.820300127,0.175929244,6,0.5,"0: Broadleaf",2,TRUE,1704138552,337.8245185,315.2699259,16.3494963,14.38644444,334.7282963,16.25169259,500.0106296,91.09887037,0.10002753,23.94350741,24.99903704,999.9,0,0,10001.82963,0,16.95396667,22.55455926,343.4396667,319.8717407,1.963047407,315.2699259,14.38644444,1.48942037,1.310588889,12.85998148,10.92082963,1999.989259,0.979993296,0.020006756,0,2.142388889,0,32935.06296,17338.1,37.34459259,38.68011111,37.83537037,36.99062963,36.95796296,1959.972222,40.01666667,0,1704138559,0,0,"--:--:--",1704052107,1704052088,0,0.063,-0.001,3.086,0.117,420,18,0.5,0.11,22.33228049,3.564641812,0.417064087,0,1.952637073,0.1208377,0.018351013,1,1,2,"2-Jan",3.13027,2.77088,0.0682474,0.0650289,0.0823013,0.075443,27887.6,27501.3,30467.8,29668.6,38601.6,36106.5,46618.7,44099.1,1.82722,1.8635,0.111829,0,23.148,999.9,38.5,31.3,19.3938,64.1592,22.8886,1,0.11471,2.51845,20.178,5.22762,11.974,4.9696,3.28955,9999,9999,9999,999.9,4.9729,1.87715,1.87526,1.8781,1.8748,1.87836,1.87546,1.87667,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.015,0.0977,1.801072517,0.004449211,-1.9e-06,5.14e-10,-0.015830826,-0.007491159,0.001123261,-1.43e-05,4,2104,0,25,1440.9,1441.2,0.754395,2.5647,1.39893,2.33398,1.44897,2.52197,37.9164,24.0262,18,484.258,472.214,20.1439,28.5088,29.9997,28.3909,28.4685,15.0742,31.152,72.91,20.151,266.314,14.4402,100.738,101.423
