Well ID	Name	chlorophyll_absorbance:649	chlorophyll_absorbance:665	Blank chlorophyll_absorbance:649	Blank chlorophyll_absorbance:665
BLK	blk	0.1	0.17	0	0
	blk	0.102	0.173	0.002	0.003
	blk	0.099	0.168	-0.002	-0.002
SPL1	paul.lc.1.25	0.11	0.193	0.009	0.022
	paul.lc.1.25	0.111	0.196	0.011	0.025
	paul.lc.1.25	0.114	0.193	0.014	0.023
SPL2	brit.lc.2.10	0.272	0.639	0.172	0.469
	brit.lc.2.10	0.271	0.633	0.17	0.463
	brit.lc.2.10	0.278	0.642	0.178	0.472
SPL3	paul.lc.2.26	0.233	0.514	0.132	0.344
	paul.lc.2.26	0.236	0.533	0.136	0.363
	paul.lc.2.26	0.241	0.537	0.14	0.367
SPL4	brit.lc.3.11	0.218	0.49	0.118	0.32
	brit.lc.3.11	0.231	0.521	0.13	0.351
	brit.lc.3.11	0.236	0.524	0.136	0.354
SPL5	brit.lc.1.9	0.274	0.649	0.174	0.479
	brit.lc.1.9	0.271	0.645	0.171	0.475
	brit.lc.1.9	0.265	0.618	0.164	0.448
SPL6	paul.lc.3.27	0.283	0.672	0.183	0.501
	paul.lc.3.27	0.279	0.656	0.178	0.486
	paul.lc.3.27	0.319	0.692	0.218	0.522
SPL7	paul.lh.1.29	0.285	0.691	0.184	0.521
	paul.lh.1.29	0.269	0.652	0.169	0.482
	paul.lh.1.29	0.29	0.688	0.19	0.518
SPL8	brit.lh.3.15	0.247	0.574	0.147	0.403
	brit.lh.3.15	0.234	0.541	0.133	0.371
	brit.lh.3.15	0.241	0.557	0.14	0.386
SPL9	brit.lh.4.16	0.226	0.519	0.125	0.348
	brit.lh.4.16	0.217	0.493	0.116	0.322
	brit.lh.4.16	0.218	0.492	0.117	0.322
SPL10	paul.lh.2.30	0.268	0.622	0.167	0.452
	paul.lh.2.30	0.264	0.619	0.163	0.448
	paul.lh.2.30	0.261	0.605	0.16	0.435
SPL11	paul.lh.3.31	0.23	0.53	0.129	0.359
	paul.lh.3.31	0.224	0.519	0.123	0.348
	paul.lh.3.31	0.225	0.516	0.124	0.345
SPL12	brit.lh.1.13	0.177	0.37	0.077	0.2
	brit.lh.1.13	0.177	0.373	0.076	0.202
	brit.lh.1.13	0.174	0.37	0.074	0.2
