"obs","time..2","elapsed","date","hhmmss..5","averaging","baseline_yn","id","machine","TIME..10","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..60","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..106","hhmmss..107","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
1,1705623564,0,2024-01-18 18:19:24,18:19:24,5,"n","brit.lc.2.10","albert",1705623561.25,0.00027688422635092,0.276884226350923,-0.73049110447573,420.305700913708,482.24837368673,43.5489632571383,37.9552913489908,0.0156836961737974,2.75129714327453,0.015634196286268,0.00977580695220921,0.026354601,25.2579288910194,25.00059,3.17978943769511,50.037845418035,1.62301957143534,3.24358404698688,1.55676986625977,-12.2105943820757,49.4821979778297,3.81068684119805,41.108645037952,-0.611748128816628,0.277723005461476,-0.73049110447573,427.271037402789,428.054490909091,0.022934608882839,65.3643225289719,0.276884226350923,17.6452184756477,17.9715648484848,-1.99760593244048e-06,99.9789068673254,9,2,1,0,47988,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623561.25,420.3057,419.7116,17.97284,17.64552,417.0657,17.84138,499.9356,90.204,0.10001269,25.33419,25.00059,999.9,0,0,9995.995,0,0.27582,0.5942382,427.9981,427.2507,0.3273272,419.7116,17.64552,1.621222,1.591695,14.16199,13.87864,0,0,0,0,1.9683,0,1.52184,-2.11476,35.0496,41.0748,37.9624,40.2998,36.2,0,0,0,1705623587.6,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.705526926829268,-1.38313754006969,0.171518657021924,0,0.326993634146342,0.00238377700348437,0.00059092345078502,1,1,2,"1/2",3.12999,2.77086,0.0852481,0.0861055,0.0873328,0.0866587,27415.7,26841.7,30506.1,29622.1,38434.1,35610.1,46674.2,44030.9,1.84162,1.86773,0.035122,0,24.4233,999.9,39.8,32,21.0683,62.7619,22.2436,1,0.0683867,0.585754,20.2119,5.23601,11.974,4.97325,3.291,9999,9999,9999,999.9,4.97299,1.87714,1.87518,1.87805,1.87475,1.87836,1.87541,1.87656,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1315,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,6.9,7.3,1.08521,2.54761,1.39893,2.33765,1.44897,2.48169,38.0134,24.1225,18,487.936,469.737,24.0632,27.9464,30,27.7531,27.8204,21.7573,24.7857,67.6334,24.0641,419.7,17.7037,100.861,101.265
2,1705623569,5,2024-01-18 18:19:29,18:19:29,5,"n","brit.lc.2.10","albert",1705623566.5,0.00027791403830776,0.277914038307767,-0.680778240626168,420.402111962138,477.038908865591,43.0793114860219,37.9646884017614,0.0157518806759061,2.75418775634039,0.01570200241784,0.00981821963649263,0.026354601,25.2558513491382,24.9950888888889,3.17874671225726,50.0395621827835,1.62289498033719,3.24322378043419,1.55585173192007,-12.2560090893725,50.073676810855,3.85204734918367,41.6960696716662,-0.496812814837386,0.27725325502802,-0.680778240626168,427.448853632384,428.155484848485,0.0263085424791792,65.3643225289719,0.277914038307767,17.6442552660622,17.9717733333333,6.74150718653307e-07,99.9789068673254,9,2,1,0,47935,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623566.5,420.402111111111,419.945777777778,17.9711333333333,17.6443888888889,417.161444444444,17.8397,499.97,90.2058222222222,0.0998335333333333,25.3323222222222,24.9950888888889,999.9,0,0,10012.9222222222,0,0.27582,0.456159888888889,428.095222222222,427.488666666667,0.326734555555556,419.945777777778,17.6443888888889,1.62110222222222,1.59162666666667,14.1608555555556,13.8779666666667,0,0,0,0,2.13231111111111,0,1.39448888888889,-2.06796666666667,35.0761111111111,40.8401111111111,37.8121111111111,40.0344444444444,36.097,0,0,0,1705623592.4,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.573320025,-0.616176934333959,0.0909270620210198,0,0.32707215,-0.00147613508442828,0.00049955527972387,1,1,2,"1/2",3.1301,2.77109,0.0852663,0.0861709,0.087331,0.0866572,27415.6,26840.1,30506.7,29622.4,38435,35610.6,46675.1,44031.4,1.84188,1.86773,0.0345781,0,24.4241,999.9,39.8,32,21.0679,62.8319,22.1995,1,0.0683943,0.474744,20.2123,5.23556,11.974,4.9732,3.291,9999,9999,9999,999.9,4.973,1.87712,1.87515,1.87804,1.8747,1.87836,1.87533,1.87653,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1315,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7,7.3,1.08398,2.55981,1.39893,2.33765,1.44897,2.46216,38.0134,24.1225,18,488.068,469.724,24.0751,27.9464,30,27.7522,27.8188,21.7385,24.7857,67.6334,24.0908,419.7,17.7037,100.862,101.267
3,1705623574,10,2024-01-18 18:19:34,18:19:34,5,"n","brit.lc.2.10","albert",1705623571.2,0.00027728643214373,0.277286432143737,-0.637081568789593,420.522200797118,472.926843534824,42.7077783173842,37.9753637897685,0.0157117204954582,2.75195425313629,0.0156620556764483,0.00979323382578492,0.026354601,25.2536045713171,24.99718,3.17914304329195,50.045385308782,1.62285583684354,3.24276819297215,1.55628720644841,-12.2283316575388,49.3723581737698,3.80117393814271,40.9715550553738,-0.668360771603248,0.278187437436946,-0.637081568789593,427.396521549921,428.1976,-0.00482184437452381,65.3643225289719,0.277286432143737,17.6427680822293,17.9695260606061,-2.64913913305505e-06,99.9789068673254,9,2,1,0,47955,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623571.2,420.5222,419.8606,17.97078,17.64298,417.2812,17.83934,500.0394,90.20515,0.10010313,25.32996,24.99718,999.9,0,0,9999.76,0,0.27582,0.6615422,428.2176,427.4013,0.3277931,419.8606,17.64298,1.621057,1.591488,14.16042,13.87663,0,0,0,0,2.155,0,1.27222,-2.02097,34.9998,40.6623,37.7498,39.806,36.0372,0,0,0,1705623597.2,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.575885341463415,-0.117446153310104,0.136349656243381,1,0.327103658536585,0.00277337979094079,0.0005492356822187,1,2,2,"2/2",3.13016,2.77101,0.0852697,0.0860651,0.0873288,0.0866473,27415.6,26843.5,30506.7,29622.8,38434.9,35611.2,46674.9,44031.7,1.84185,1.86773,0.0352412,0,24.4241,999.9,39.8,32,21.068,62.7819,22.0393,1,0.0683511,0.515629,20.2123,5.23556,11.974,4.9731,3.291,9999,9999,9999,999.9,4.97299,1.87713,1.87515,1.87805,1.87471,1.87836,1.87534,1.87653,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.241,0.1314,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7,7.4,1.08521,2.56104,1.39893,2.33765,1.44897,2.5061,38.0134,24.1313,18,488.044,469.724,24.0942,27.9464,30,27.7507,27.8188,21.7492,24.513,67.6334,24.0955,419.7,17.7037,100.862,101.268
4,1705623579,15,2024-01-18 18:19:39,18:19:39,5,"n","brit.lc.2.10","albert",1705623576.5,0.00026609769068952,0.266097690689521,-0.685608871477548,420.379445303172,480.582503813185,43.4003119640755,37.9635107909273,0.0150746277179382,2.75028405760179,0.0150288749410869,0.00939714590005348,0.026354601,25.2571131717885,24.9983,3.17935533612022,50.0454344250514,1.62290204086828,3.24285733456618,1.55645329525194,-11.7349081594079,49.2448625796046,3.79369067489414,41.3299996960908,-0.832362822909752,0.262058172185903,-0.685608871477548,427.036005929545,428.017393939394,-0.0302936030265754,65.3643225289719,0.266097690689521,17.6603056268962,17.9738290909091,3.3449302179651e-06,99.9789068673254,9,2,1,0,47954,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623576.5,420.379444444445,419.512888888889,17.9708,17.6620111111111,417.138888888889,17.8393666666667,500.048,90.2077222222222,0.100001466666667,25.3304222222222,24.9983,999.9,0,0,9989.58333333333,0,0.27582,0.866529666666667,428.072222222222,427.055555555556,0.308780555555556,419.512888888889,17.6620111111111,1.62110333333333,1.59325,14.1608888888889,13.8936555555556,0,0,0,0,2.14575555555556,0,1.07093333333333,-1.9699,34.9858888888889,40.472,37.6456666666667,39.5761111111111,35.972,0,0,0,1705623602.6,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.650589125,1.19620272045028,0.205025480811921,0,0.323164875,-0.0639466829268298,0.010455982393318,1,1,2,"1/2",3.13004,2.77096,0.0852447,0.0860794,0.0873486,0.0868327,27416.5,26842.8,30506.9,29622.4,38434.4,35603.5,46675.3,44031.2,1.84155,1.86782,0.0348836,0,24.4241,999.9,39.8,32,21.0672,62.9419,21.9351,1,0.0683156,0.55613,20.212,5.23556,11.974,4.973,3.291,9999,9999,9999,999.9,4.97302,1.87714,1.87516,1.87805,1.87471,1.87835,1.87535,1.87653,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.241,0.1315,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7.1,7.5,1.08521,2.55127,1.39893,2.33765,1.44897,2.57568,38.0377,24.1313,18,487.879,469.789,24.0981,27.9441,30.0002,27.7507,27.8188,21.7546,24.513,67.6334,24.0934,419.7,17.7037,100.863,101.266
5,1705623584,20,2024-01-18 18:19:44,18:19:44,5,"n","brit.lc.2.10","albert",1705623581.2,0.00024828715203134,0.248287152031349,-0.672457459444522,420.308900840101,484.105685848115,43.718195962492,37.9568912922709,0.0140833072994762,2.75206482178349,0.0140433913074953,0.008780696368664,0.026354601,25.2622798351629,24.99311,3.17837169061208,50.0847278917603,1.62419634166639,3.24289740612447,1.55417534894569,-10.9494634045825,50.0776124381708,3.85525059899173,43.00975423358,-0.708391328043763,0.241947361517055,-0.672457459444522,427.147472235029,427.982715151515,-0.00290346916542873,65.3643225289719,0.248287152031349,17.7022073023324,17.9946218181818,2.10805547985264e-05,99.9789068673254,9,2,1,0,48026,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623581.2,420.3089,419.5809,17.98525,17.70015,417.0686,17.85358,500.0264,90.20718,0.09995177,25.33063,24.99311,999.9,0,0,10000.19,0,0.27582,0.7280549,428.0068,427.1414,0.2850862,419.5809,17.70015,1.622399,1.596683,14.1732,13.92681,0,0,0,0,2.13349,0,0.9072,-1.9108,34.931,40.306,37.5561,39.4121,35.8872,0,0,0,1705623607.4,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.678646365853659,1.11088245993031,0.201567081639757,0,0.313753634146341,-0.158229993031359,0.0187435715051478,1,1,2,"1/2",3.13002,2.77094,0.0852381,0.0860747,0.0874208,0.086868,27416.7,26842.7,30506.9,29622.1,38431.4,35602,46675.4,44031,1.8416,1.86803,0.0341907,0,24.4234,999.9,39.8,32,21.0678,62.7119,21.9471,1,0.0679421,0.556269,20.2121,5.23571,11.974,4.9732,3.291,9999,9999,9999,999.9,4.97299,1.87714,1.87518,1.87805,1.8747,1.87836,1.8754,1.87655,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1319,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7.2,7.6,1.08521,2.54761,1.39893,2.33765,1.44897,2.58911,38.0134,24.1313,18,487.906,469.919,24.0972,27.9441,30,27.7507,27.8188,21.7613,24.513,67.6334,24.0955,419.7,17.7037,100.863,101.266
6,1705623589,25,2024-01-18 18:19:49,18:19:49,5,"n","brit.lc.2.10","albert",1705623586.5,0.00025962025076423,0.259620250764238,-0.702200873601899,420.259000879161,483.880038831936,43.6981102487304,37.952638422056,0.0147454293195113,2.75218432869404,0.0147016800119335,0.00919246982308358,0.026354601,25.2598587068419,24.9921666666667,3.17819293197132,50.1335091968677,1.62584627369851,3.24303305263157,1.55234665827281,-11.4492530587029,50.3241124517672,3.87405463428136,42.7752686283456,-0.682789954961371,0.255068951019447,-0.702200873601899,427.131776038562,427.983151515151,0.00137416926378046,65.3643225289719,0.259620250764238,17.7023509471345,18.0082242424242,1.22336385471196e-05,99.9789068673254,9,2,1,0,47919,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623586.5,420.259,419.568222222222,18.0034,17.7028,417.019,17.8713666666667,499.953777777778,90.2077333333334,0.100001522222222,25.3313333333333,24.9921666666667,999.9,0,0,10000.8366666667,0,0.27582,0.690657,427.963777777778,427.129888888889,0.300586444444444,419.568222222222,17.7028,1.62404555555556,1.59692888888889,14.1888888888889,13.9292222222222,0,0,0,0,2.08168888888889,0,0.460588888888889,-1.90076666666667,35.0482222222222,40.1386666666667,37.4926666666667,39.2637777777778,35.8675555555556,0,0,0,1705623612.2,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.7397562,0.0409395422138836,0.153003571273059,1,0.30577675,-0.128758424015011,0.0176360166006244,1,2,2,"2/2",3.13003,2.77109,0.0852373,0.0860794,0.0874655,0.0868673,27416.8,26842.3,30507,29621.9,38429.9,35601.7,46675.8,44030.7,1.84172,1.86787,0.0350922,0,24.4214,999.9,39.8,32,21.0707,63.0219,22.2316,1,0.0683308,0.533984,20.2122,5.23556,11.974,4.97335,3.291,9999,9999,9999,999.9,4.97299,1.87714,1.87517,1.87805,1.87469,1.87836,1.87535,1.87656,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1322,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7.3,7.7,1.08521,2.55371,1.39893,2.33765,1.44897,2.49146,38.0134,24.1313,18,487.975,469.821,24.1004,27.9437,30.0002,27.7507,27.8188,21.7629,24.513,67.6334,24.103,419.7,17.6986,100.864,101.265
7,1705623594,30,2024-01-18 18:19:54,18:19:54,5,"n","brit.lc.2.10","albert",1705623591.2,0.00026572306678971,0.265723066789716,-0.64689675203144,420.278100808094,476.377018115012,43.0196044926544,37.9535472664701,0.0150916695572421,2.75359965031158,0.0150458684790778,0.00940777118955008,0.026354601,25.2564561840832,24.99736,3.17917716094675,50.1662042602612,1.62673695203745,3.24269490989985,1.55244020890929,-11.7183872454265,49.3187448175595,3.79477352546464,41.4214856985977,-0.655641801765298,0.263251803425443,-0.64689675203144,427.206035357868,427.994593939394,0.00035855215263432,65.3643225289719,0.265723066789716,17.7033625859623,18.0164315151515,7.19059660508234e-06,99.9789068673254,9,2,1,0,47986,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623591.2,420.2781,419.6241,18.01365,17.70344,417.038,17.88147,500.0026,90.20583,0.09996322,25.32958,24.99736,999.9,0,0,10009.435,0,0.27582,0.6539245,427.9879,427.1869,0.3102321,419.6241,17.70344,1.624938,1.596954,14.19735,13.92945,0,0,0,0,2.05406,0,0.29472,-1.8715,34.8498,39.9998,37.3872,39.0498,35.7624,0,0,0,1705623617.6,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.751532731707317,-0.958244655052265,0.106378754610538,0,0.302446414634146,-0.0161440139372824,0.0143046831679487,1,1,2,"1/2",3.13003,2.77106,0.0852393,0.0860845,0.0874885,0.0868622,27416.7,26842.2,30507,29621.9,38428.9,35602,46675.8,44030.8,1.84153,1.86797,0.0354275,0,24.4201,999.9,39.8,32,21.0681,62.8819,22.1795,1,0.0679192,0.540466,20.2123,5.23571,11.974,4.97305,3.291,9999,9999,9999,999.9,4.973,1.87713,1.87515,1.87804,1.87471,1.87836,1.87535,1.87654,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1323,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7.4,7.8,1.08521,2.55981,1.39893,2.33765,1.44897,2.45483,38.0134,24.1225,18,487.865,469.885,24.1058,27.9417,30,27.7507,27.8186,21.7651,24.513,67.6334,24.1063,419.7,17.6974,100.864,101.265
8,1705623599,35,2024-01-18 18:19:59,18:19:59,5,"n","brit.lc.2.10","albert",1705623596.5,0.00026817325754711,0.268173257547119,-0.647965961914817,420.31900081192,475.892431682154,42.9763187259652,37.9576604772252,0.0152356459185717,2.75195405932966,0.0151889404157077,0.00949727205966068,0.026354601,25.2554038571132,24.9969777777778,3.17910471396265,50.1781728546842,1.62709258636775,3.24263019915014,1.5520121275949,-11.826440657828,49.2961948451305,3.79529286965935,41.2914016579619,-0.673258485975779,0.267390088669384,-0.647965961914817,427.232965566137,428.024133333333,7.43325825369008e-05,65.3643225289719,0.268173257547119,17.7021754231963,18.0181545454545,1.39080723527679e-06,99.9789068673254,9,2,1,0,47886,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623596.5,420.319,419.646,18.0173888888889,17.7023222222222,417.079,17.8851222222222,500.032111111111,90.2067333333333,0.100058422222222,25.3292444444444,24.9969777777778,999.9,0,0,9999.58333333333,0,0.27582,0.673010777777778,428.031111111111,427.208555555556,0.315043333333333,419.646,17.7023222222222,1.62529,1.59686888888889,14.2006888888889,13.9286444444444,0,0,0,0,2.11416666666667,0,0.0622777777777778,-1.86581111111111,34.8328888888889,39.8192222222222,37.312,38.7982222222222,35.708,0,0,0,1705623622.4,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.689676414634146,-0.288066773519162,0.0346685825882994,1,0.301455853658537,0.117764257839722,0.0120443915084097,1,2,2,"2/2",3.13006,2.77096,0.0852445,0.086087,0.0874977,0.0868645,27416.5,26842.3,30506.9,29622.1,38428.2,35602.1,46675.5,44031,1.8416,1.86793,0.0353977,0,24.4201,999.9,39.8,32,21.0688,63.0119,22.0553,1,0.0682978,0.545991,20.2122,5.23586,11.974,4.9733,3.291,9999,9999,9999,999.9,4.973,1.87714,1.87517,1.87805,1.87471,1.87836,1.87535,1.87653,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1323,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7.5,7.8,1.08643,2.55859,1.39893,2.33765,1.44897,2.50732,38.0134,24.1225,18,487.89,469.835,24.1075,27.9417,30.0002,27.7484,27.8165,21.7688,24.513,67.6334,24.1073,419.7,17.6908,100.863,101.266
9,1705623604,40,2024-01-18 18:20:04,18:20:04,5,"n","brit.lc.2.10","albert",1705623601.2,0.00027007778328624,0.270077783286244,-0.662949729480648,420.307700830544,476.982083807522,43.0749109249098,37.9568067416871,0.0153358238596391,2.74983662665311,0.0152884668516159,0.00955953436141529,0.026354601,25.2541106378022,25.00237,3.18012689740287,50.1858201788713,1.62727141758501,3.242492424723,1.55285547981786,-11.9104302429234,48.3529565332107,3.72562752637019,40.1945084176575,-0.633496814157628,0.269473772724794,-0.662949729480648,427.242705145115,428.047703030303,0.00100427091407042,65.3643225289719,0.270077783286244,17.7017397156483,18.0199424242424,1.202393894531e-06,99.9789068673254,9,2,1,0,47955,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623601.2,420.3077,419.6835,18.01929,17.70179,417.0676,17.88698,500.0656,90.20713,0.10005844,25.32853,25.00237,999.9,0,0,9987,0,0.27582,0.6241913,428.0203,427.2465,0.3174936,419.6835,17.70179,1.62547,1.596829,14.2024,13.92825,0,0,0,0,2.09548,0,-0.2345,-1.79496,34.7746,39.6998,37.231,38.6622,35.6184,0,0,0,1705623627.2,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.6603378,-0.247043819887431,0.0339497064797326,1,0.310670675,0.0702950206378986,0.0072007545972193,1,2,2,"2/2",3.13008,2.77086,0.0852462,0.0861013,0.0875036,0.0868561,27416.5,26841.9,30506.9,29622.1,38428,35602.2,46675.6,44030.7,1.84168,1.86797,0.0353679,0,24.4183,999.9,39.8,32,21.0674,62.9619,21.879,1,0.0677668,0.549169,20.2121,5.23556,11.974,4.97335,3.291,9999,9999,9999,999.9,4.973,1.87714,1.87519,1.87805,1.87475,1.87836,1.87543,1.87657,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1323,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7.5,7.9,1.08521,2.55127,1.39893,2.33765,1.44897,2.59766,38.0377,24.1313,18,487.932,469.867,24.1088,27.9417,30,27.7484,27.8165,21.7673,24.513,67.6334,24.1084,419.7,17.6851,100.863,101.265
10,1705623609,45,2024-01-18 18:20:09,18:20:09,5,"n","brit.lc.2.10","albert",1705623606.5,0.00027236230866274,0.272362308662743,-0.69435892302231,420.362000869453,479.703085396989,43.3208844304692,37.9619273108404,0.0154581582237613,2.75126466037099,0.0154100688347451,0.00963560112110618,0.026354601,25.2509524387641,25.0070777777778,3.18101956809241,50.197004991459,1.62738597326422,3.24199815017075,1.55363359482819,-12.011177812027,47.2995708512964,3.64261106115556,38.957358701425,-0.699491553184751,0.272433148535582,-0.69435892302231,427.212694948206,428.062709090909,-0.00036359807709575,65.3643225289719,0.272362308662743,17.6993621888262,18.0203218181818,1.89664039268822e-07,99.9789068673254,9,2,1,0,47939,0.27582,0.110328,0.4,0.09555,6,0.5,"0: Broadleaf",2,TRUE,1705623606.5,420.362,419.66,18.0204555555556,17.6994111111111,417.121777777778,17.8881555555556,499.975222222222,90.2076333333333,0.100071055555556,25.3259666666667,25.0070777777778,999.9,0,0,9995.4,0,0.27582,0.702067,428.076333333333,427.221444444445,0.321061,419.66,17.6994111111111,1.62558444444444,1.59662333333333,14.2034555555556,13.9262333333333,0,0,0,0,2.1143,0,0.0182888888888889,-1.76684444444444,34.7496666666667,39.5552222222222,37.1732222222222,38.5136666666667,35.569,0,0,0,1705623632.6,0,1705623152,18:12:32,1705623152,1705623128.5,2,-0.379,-0.004,3.259,0.126,425,18,0.42,0.09,0.660966,0.0246109547038332,0.0377749595644729,1,0.315233609756098,0.0461672195121954,0.0047563821713467,1,2,2,"2/2",3.13001,2.77106,0.0852464,0.0860922,0.0875048,0.0868482,27416.2,26841.9,30506.7,29621.9,38427.5,35602.2,46675,44030.4,1.84182,1.86782,0.0358298,0,24.4168,999.9,39.8,32,21.0684,63.1219,21.9712,1,0.0678963,0.584134,20.2119,5.23586,11.974,4.97315,3.291,9999,9999,9999,999.9,4.97299,1.87714,1.87515,1.87804,1.8747,1.87836,1.87534,1.87654,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.24,0.1323,1.53728118720754,0.00477722594861271,-1.86532742934434e-06,4.81591146563106e-10,-0.0187359550148704,-0.00505530280744641,0.00095193809471823,-1.10263863397127e-05,1,2112,0,29,7.6,8,1.08521,2.54761,1.39893,2.33765,1.44897,2.57568,38.0134,24.1313,18,488.014,469.77,24.1073,27.9417,30.0001,27.7484,27.8165,21.7695,24.513,67.6334,24.1022,419.7,17.6848,100.862,101.264
